AC7.2	C47C12.3
B0035.11	Y11D7A.9
B0035.11	Y32F6A.3
B0035.11	Y39H10A.7
B0035.11	Y40B1A.4
B0035.11	Y47D3B.7
B0035.11	Y49E10.21
B0035.11	Y52B11A.9
B0035.11	Y53C10A.12
B0035.11	Y54E2A.11
B0035.11	Y71G12B.14
B0035.11	Y77E11A.13
B0035.11	ZC518.2
B0035.11	ZK1127.4
B0035.11	ZK1151.1
B0035.11	ZK1236.3
B0035.11	ZK637.7
B0035.11	ZK742.1
B0035.11	ZK795.3
B0035.11	ZK856.10
B0035.12	B0207.6
B0035.12	B0361.10
B0035.12	C02F5.9
B0035.12	C04A2.3
B0035.12	C16A3.3
B0035.12	C27D11.1
B0035.12	C31E10.7
B0035.12	C34B2.7
B0035.12	C37H5.5
B0035.12	C44E4.4
B0035.12	C47E12.2
B0035.12	C48A7.1
B0035.12	C49H3.8
B0035.12	C52A11.2
B0035.12	C52E4.6
B0035.12	CD4.4
B0035.12	F01F1.12
B0035.12	F08F8.2
B0035.12	F11C1.6
B0035.12	F13D11.2
B0035.12	F23F1.5
B0035.12	F25H2.4
B0035.12	F31E3.1
B0035.12	F32E10.1
B0035.12	F35H10.4
B0035.12	F41E6.4
B0035.12	F46A9.4
B0035.12	F56D1.4
B0035.12	F57B10.3
B0035.12	H41C03.1
B0035.12	K07C5.1
B0035.12	K10C2.4
B0035.12	M03F4.6
B0035.12	M57.2
B0035.12	R06C1.3
B0035.12	R06C7.5
B0035.12	R08C7.10
B0035.12	R12B2.5
B0035.12	R13G10.1
B0035.12	T01B7.5
B0035.12	T01G9.4
B0035.12	T04A8.6
B0035.12	T17E9.2
B0035.12	T23D8.1
B0035.12	T27C4.4
B0035.12	T27F2.1
B0035.12	W02A11.4
B0035.12	W04A8.7
B0035.12	W04D2.6
B0035.12	Y106G6E.6
B0035.12	Y113G7B.21
B0035.12	Y11D7A.9
B0035.12	Y51H7C.6
B0035.12	Y57G11C.24
B0035.12	Y63D3A.5
B0035.12	Y6B3A.1
B0035.12	ZC395.3
B0035.12	ZK1098.1
B0035.12	ZK1127.4
B0035.12	ZK1127.5
B0041.7	B0564.1
B0041.7	C16A3.3
B0041.7	C44E4.4
B0041.7	C53A5.3
B0041.7	F11A10.1
B0041.7	F46A9.4
B0041.7	F53A2.4
B0041.7	T01B7.5
B0041.7	T03F6.5
B0041.7	ZK1127.4
B0207.6	B0286.5
B0207.6	C04A2.3
B0207.6	C05D11.3
B0207.6	C26C6.2
B0207.6	C32F10.2
B0207.6	C33H5.9
B0207.6	C37H5.5
B0207.6	C44E4.4
B0207.6	C48A7.1
B0207.6	C49H3.8
B0207.6	C52A11.2
B0207.6	C54D1.6
B0207.6	F01F1.12
B0207.6	F11C1.6
B0207.6	F13D11.2
B0207.6	F15G9.4
B0207.6	F26E4.1
B0207.6	F27E5.2
B0207.6	F31E3.1
B0207.6	F32E10.1
B0207.6	F37B12.1
B0207.6	F41E6.4
B0207.6	F44C4.4
B0207.6	F46A9.4
B0207.6	F47F6.1
B0207.6	F48C1.4
B0207.6	F55C7.7
B0207.6	F56D1.4
B0207.6	F57B10.3
B0207.6	F59B10.1
B0207.6	K09A9.1
B0207.6	K12H4.8
B0207.6	M03F4.6
B0207.6	M04F3.1
B0207.6	R02D3.5
B0207.6	R06C1.3
B0207.6	R06C7.5
B0207.6	R08C7.10
B0207.6	R13G10.1
B0207.6	R53.3
B0207.6	T01B7.5
B0207.6	T01G9.4
B0207.6	T04A8.6
B0207.6	T05C12.6
B0207.6	T12F5.4
B0207.6	T22B7.1
B0207.6	T25C12.1
B0207.6	T27C4.4
B0207.6	T28F12.2
B0207.6	W02A11.4
B0207.6	W03C9.4
B0207.6	W09C2.1
B0207.6	W09C5.2
B0207.6	Y106G6E.6
B0207.6	Y113G7B.21
B0207.6	Y34D9A.4
B0207.6	Y51A2D.15
B0207.6	Y51H7C.6
B0207.6	Y71H2B.3
B0207.6	ZK1098.1
B0207.6	ZK1127.5
B0207.6	ZK546.13
B0218.3	F08B1.1
B0261.4	C03D6.3
B0261.4	C24A11.9
B0261.4	C30C11.4
B0261.4	C32E8.5
B0261.4	C35D10.4
B0261.4	C54F6.14
B0261.4	D2013.5
B0261.4	D2030.4
B0261.4	F25B4.6
B0261.4	F26E4.6
B0261.4	F26E4.9
B0261.4	F40F8.10
B0261.4	F57B10.3
B0261.4	F59G1.7
B0261.4	K01C8.7
B0261.4	K01C8.9
B0261.4	M110.4
B0261.4	R74.1
B0261.4	T02G5.9
B0261.4	T02H6.11
B0261.4	T06D8.6
B0261.4	T08B2.10
B0261.4	T08B2.9
B0261.4	W04A4.5
B0261.4	W09C5.8
B0261.4	W10G6.2
B0261.4	Y32F6A.3
B0261.4	Y54E2A.11
B0261.4	ZK1151.1
B0285.1	C01G8.5
B0285.1	C01H6.5
B0285.1	C03D6.3
B0285.1	C05D11.9
B0285.1	C07A12.4
B0285.1	C07G1.5
B0285.1	C08H9.2
B0285.1	C10H11.9
B0285.1	C16A3.8
B0285.1	C17E4.9
B0285.1	C25A1.9
B0285.1	C27F2.10
B0285.1	C30C11.4
B0285.1	C32D5.12
B0285.1	C35C5.1
B0285.1	C45B2.7
B0285.1	D2013.5
B0285.1	D2013.7
B0285.1	F08D12.1
B0285.1	F11C1.6
B0285.1	F13D11.2
B0285.1	F22B5.2
B0285.1	F25B3.6
B0285.1	F25B4.6
B0285.1	F29D11.1
B0285.1	F31E3.1
B0285.1	F33H1.3
B0285.1	F35H10.4
B0285.1	F39B2.6
B0285.1	F40F8.10
B0285.1	F42A8.1
B0285.1	F44A6.2
B0285.1	F54D5.5
B0285.1	F56A11.1
B0285.1	F57B10.1
B0285.1	F57B10.3
B0285.1	K01C8.9
B0285.1	K02B12.1
B0285.1	K03H1.2
B0285.1	K04F10.4
B0285.1	K08B12.5
B0285.1	K10B3.10
B0285.1	M01E5.5
B0285.1	M106.5
B0285.1	R06A4.4
B0285.1	R06C1.3
B0285.1	R07E4.6
B0285.1	R07E5.7
B0285.1	R13A5.5
B0285.1	R13F6.1
B0285.1	R160.1
B0285.1	R31.1
B0285.1	R74.1
B0285.1	T01D1.2
B0285.1	T08B2.10
B0285.1	T16H12.4
B0285.1	T17E9.1
B0285.1	T23F2.1
B0285.1	T26A5.9
B0285.1	T26G10.1
B0285.1	T27B1.2
B0285.1	T27F7.3
B0285.1	W04A8.7
B0285.1	W10D5.3
B0285.1	Y106G6E.6
B0285.1	Y11D7A.9
B0285.1	Y32F6A.3
B0285.1	Y40B1A.4
B0285.1	Y54E2A.11
B0285.1	Y63D3A.5
B0285.1	Y71G12B.14
B0285.1	Y77E11A.13
B0285.1	ZC328.1
B0285.1	ZC518.2
B0285.1	ZK1127.5
B0285.1	ZK1151.1
B0285.1	ZK430.8
B0285.1	ZK742.1
B0286.4	B0336.6
B0286.4	C01G8.9
B0286.4	C02F5.9
B0286.4	C03C10.3
B0286.4	C03D6.3
B0286.4	C04H5.6
B0286.4	C07G2.3
B0286.4	C07H6.5
B0286.4	C12C8.3
B0286.4	C17G10.2
B0286.4	C24H11.7
B0286.4	C26C6.5
B0286.4	C26D10.2
B0286.4	C27A2.6
B0286.4	C29F9.7
B0286.4	C30C11.4
B0286.4	C35C5.1
B0286.4	C37C3.6
B0286.4	C38D4.3
B0286.4	C45G3.1
B0286.4	C47D12.6
B0286.4	C52E4.6
B0286.4	D2096.8
B0286.4	F01F1.8
B0286.4	F10C1.2
B0286.4	F11H8.4
B0286.4	F16D3.4
B0286.4	F18G5.2
B0286.4	F20B6.2
B0286.4	F20D12.4
B0286.4	F25B5.7
B0286.4	F28C6.3
B0286.4	F31E3.1
B0286.4	F54C4.3
B0286.4	F54C9.9
B0286.4	F54G8.3
B0286.4	F54H5.4
B0286.4	F55A11.2
B0286.4	F55A12.7
B0286.4	F55A8.1
B0286.4	F56D1.4
B0286.4	F57B9.2
B0286.4	K02A11.1
B0286.4	K02B12.3
B0286.4	K02F2.2
B0286.4	K04G7.11
B0286.4	K04H4.1
B0286.4	K07C5.4
B0286.4	K11H12.2
B0286.4	M01E5.5
B0286.4	M57.2
B0286.4	R05D3.4
B0286.4	R09B3.4
B0286.4	R12B2.5
B0286.4	T01C3.7
B0286.4	T01G9.6
B0286.4	T04D3.2
B0286.4	T15B7.2
B0286.4	T19E10.1
B0286.4	T23B12.7
B0286.4	T23D8.9
B0286.4	T27F7.1
B0286.4	W03C9.4
B0286.4	W09C2.1
B0286.4	W09C5.6
B0286.4	Y38F2AL.4
B0286.4	Y40B1A.4
B0286.4	Y41E3.11
B0286.4	Y47D3A.26
B0286.4	Y47G6A.9
B0286.4	Y49F6B.1
B0286.4	Y49F6B.2
B0286.4	Y51H7C.6
B0286.4	Y52B11A.9
B0286.4	Y53C10A.12
B0286.4	Y53F4B.22
B0286.4	Y54E10A.2
B0286.4	Y63D3A.5
B0286.4	Y71F9B.4
B0286.4	ZC101.2
B0286.4	ZC168.3
B0286.4	ZK1151.1
B0286.4	ZK637.7
B0286.4	ZK909.2
B0286.5	B0336.2
B0286.5	C03D6.3
B0286.5	C05D11.3
B0286.5	C07H6.5
B0286.5	C09G5.6
B0286.5	C12C8.3
B0286.5	C26C6.2
B0286.5	C26C6.5
B0286.5	C33H5.9
B0286.5	C48A7.1
B0286.5	C49H3.8
B0286.5	C54D1.6
B0286.5	C55B7.5
B0286.5	F10G7.4
B0286.5	F11C1.6
B0286.5	F15G9.4
B0286.5	F18G5.2
B0286.5	F20G4.3
B0286.5	F27E5.2
B0286.5	F29B9.6
B0286.5	F29G9.4
B0286.5	F32E10.1
B0286.5	F36H1.4
B0286.5	F37B12.1
B0286.5	F37E3.1
B0286.5	F41E6.4
B0286.5	F44C4.4
B0286.5	F47F6.1
B0286.5	F48C1.4
B0286.5	F52B5.6
B0286.5	F53A2.4
B0286.5	F54G8.3
B0286.5	F55C5.4
B0286.5	F55C5.8
B0286.5	F55C7.7
B0286.5	F55F8.2
B0286.5	F56D1.4
B0286.5	F59A2.1
B0286.5	F59B10.1
B0286.5	K01C8.10
B0286.5	K08B4.1
B0286.5	K12C11.2
B0286.5	M04F3.1
B0286.5	R02D3.3
B0286.5	R02D3.5
B0286.5	R06C7.5
B0286.5	R06C7.8
B0286.5	R07G3.1
B0286.5	R53.3
B0286.5	T01B7.5
B0286.5	T01G9.4
B0286.5	T04A8.6
B0286.5	T05G5.3
B0286.5	T10F2.4
B0286.5	T19E10.1
B0286.5	T22B7.1
B0286.5	T25C12.1
B0286.5	T27C4.4
B0286.5	T27F2.1
B0286.5	T28F12.2
B0286.5	W02A11.4
B0286.5	W03C9.4
B0286.5	W07E6.4
B0286.5	W09C5.2
B0286.5	Y113G7B.21
B0286.5	Y34D9A.4
B0286.5	Y40B1A.4
B0286.5	Y47D3A.26
B0286.5	Y51A2D.15
B0286.5	Y53H1C.2
B0286.5	Y55B1BM.1
B0286.5	Y66H1A.4
B0286.5	ZC123.3
B0286.5	ZK1127.5
B0286.5	ZK1151.1
B0336.2	C01G8.9
B0336.2	C03D6.3
B0336.2	C07H6.5
B0336.2	C12C8.3
B0336.2	C17G10.2
B0336.2	C26C6.5
B0336.2	C30C11.4
B0336.2	C55B7.5
B0336.2	C56C10.8
B0336.2	F11A3.2
B0336.2	F12F6.7
B0336.2	F20G4.3
B0336.2	F29B9.6
B0336.2	F29G9.4
B0336.2	F41E6.4
B0336.2	F46A9.5
B0336.2	F53A2.4
B0336.2	F54G8.3
B0336.2	F57B9.2
B0336.2	K01C8.10
B0336.2	K08E3.6
B0336.2	R06C7.8
B0336.2	R06F6.1
B0336.2	R07G3.1
B0336.2	T05G5.3
B0336.2	T08B6.3
B0336.2	T09A5.9
B0336.2	T20B12.1
B0336.2	T26A5.9
B0336.2	W01B6.9
B0336.2	W02A11.4
B0336.2	W03C9.4
B0336.2	W09C5.2
B0336.2	Y40B1A.4
B0336.2	Y47D3A.26
B0336.2	Y47G6A.8
B0336.2	Y62E10A.11
B0336.2	Y65B4BR.5
B0336.2	ZC123.3
B0336.2	ZK1151.1
B0336.6	C01G8.9
B0336.6	C01H6.5
B0336.6	C02F5.9
B0336.6	C03D6.3
B0336.6	C04H5.6
B0336.6	C07G2.3
B0336.6	C07H6.5
B0336.6	C08F8.1
B0336.6	C08F8.8
B0336.6	C11H1.3
B0336.6	C12C8.3
B0336.6	C16A3.8
B0336.6	C17G10.2
B0336.6	C24H11.7
B0336.6	C25A1.9
B0336.6	C26D10.2
B0336.6	C27A2.6
B0336.6	C27F2.10
B0336.6	C27H6.2
B0336.6	C29F9.7
B0336.6	C30C11.4
B0336.6	C35C5.1
B0336.6	C37A2.4
B0336.6	C42D4.8
B0336.6	C47D12.6
B0336.6	C52E4.6
B0336.6	C54D1.5
B0336.6	C54G4.8
B0336.6	C55A6.9
B0336.6	C56C10.8
B0336.6	D2013.7
B0336.6	F01F1.8
B0336.6	F10C1.2
B0336.6	F11H8.4
B0336.6	F16D3.4
B0336.6	F18G5.2
B0336.6	F20B6.2
B0336.6	F20D12.4
B0336.6	F21C3.5
B0336.6	F22B5.1
B0336.6	F25B3.6
B0336.6	F27E5.2
B0336.6	F28D1.10
B0336.6	F31C3.5
B0336.6	F31E3.1
B0336.6	F32H2.1
B0336.6	F35H10.4
B0336.6	F40F8.10
B0336.6	F53F4.11
B0336.6	F54G8.3
B0336.6	F55A11.2
B0336.6	F55F8.4
B0336.6	F56D1.4
B0336.6	F57B9.2
B0336.6	F59E10.1
B0336.6	K02B12.3
B0336.6	K02F2.2
B0336.6	K04G7.11
B0336.6	K07C5.4
B0336.6	K10G9.2
B0336.6	K11H12.2
B0336.6	K12F2.1
B0336.6	M106.5
B0336.6	M28.5
B0336.6	R06A4.4
B0336.6	R06C1.3
B0336.6	R06C7.5
B0336.6	R07G3.1
B0336.6	R09B3.4
B0336.6	R12B2.5
B0336.6	R13F6.1
B0336.6	T01C3.7
B0336.6	T06D8.8
B0336.6	T08A11.2
B0336.6	T23D8.9
B0336.6	T27F7.1
B0336.6	W03C9.4
B0336.6	W04A4.5
B0336.6	W04A8.7
B0336.6	W08F4.8
B0336.6	W09C2.1
B0336.6	W09C5.6
B0336.6	Y105E8B.1
B0336.6	Y34D9A.4
B0336.6	Y38F2AL.4
B0336.6	Y40B1A.4
B0336.6	Y47D3A.26
B0336.6	Y49E10.21
B0336.6	Y52B11A.9
B0336.6	Y53C10A.12
B0336.6	Y54E2A.11
B0336.6	Y63D3A.5
B0336.6	ZC168.3
B0336.6	ZK1151.1
B0336.6	ZK637.7
B0350.2	C01H6.5
B0350.2	C03D6.3
B0350.2	C07A12.4
B0350.2	C08B11.4
B0350.2	C08H9.2
B0350.2	C12C8.3
B0350.2	C17E4.9
B0350.2	C25A1.11
B0350.2	C27F2.8
B0350.2	C31H2.2
B0350.2	C33H5.9
B0350.2	D1007.5
B0350.2	D2085.3
B0350.2	F25B4.9
B0350.2	F25D7.3
B0350.2	F27C1.2
B0350.2	F29D11.2
B0350.2	F46F11.9
B0350.2	F54E7.2
B0350.2	F55C7.7
B0350.2	F57B10.1
B0350.2	F59E10.1
B0350.2	H04M03.4
B0350.2	K02A11.1
B0350.2	M6.1
B0350.2	R13A5.5
B0350.2	R31.1
B0350.2	T08B2.10
B0350.2	T14B4.7
B0350.2	W10D5.3
B0350.2	Y105E8B.2
B0350.2	Y106G6E.6
B0350.2	Y106G6H.7
B0350.2	Y17G7B.20
B0350.2	Y47D3B.10
B0350.2	Y53C12A.4
B0350.2	ZK863.6
B0361.10	B0432.3
B0361.10	C03D6.3
B0361.10	C06A8.2
B0361.10	C14A4.1
B0361.10	C17G10.2
B0361.10	C26D10.2
B0361.10	C27A2.6
B0361.10	C31E10.7
B0361.10	C32E12.3
B0361.10	C37A2.4
B0361.10	C41G7.1
B0361.10	C47D12.1
B0361.10	C47E12.2
B0361.10	C47G2.5
B0361.10	C49F5.1
B0361.10	C52E4.6
B0361.10	C54H2.5
B0361.10	C56C10.8
B0361.10	CD4.4
B0361.10	D1014.3
B0361.10	F01F1.12
B0361.10	F01F1.8
B0361.10	F08F8.2
B0361.10	F09E5.2
B0361.10	F10E7.6
B0361.10	F10E7.7
B0361.10	F11C1.6
B0361.10	F11H8.4
B0361.10	F18F11.5
B0361.10	F23F1.5
B0361.10	F25B3.6
B0361.10	F25H2.4
B0361.10	F29G6.3
B0361.10	F29G9.3
B0361.10	F35H10.4
B0361.10	F54C8.5
B0361.10	F55A11.2
B0361.10	F55F10.1
B0361.10	F56D1.4
B0361.10	F57B10.1
B0361.10	F59E10.1
B0361.10	H38K22.1
B0361.10	K02B12.1
B0361.10	K04G7.11
B0361.10	K07C5.1
B0361.10	K08E4.1
B0361.10	K10C2.4
B0361.10	M57.2
B0361.10	R09B3.4
B0361.10	R12B2.5
B0361.10	T01G9.4
B0361.10	T01H3.1
B0361.10	T05C12.7
B0361.10	T06D8.5
B0361.10	T06D8.6
B0361.10	T10H9.3
B0361.10	T14B4.2
B0361.10	T17E9.2
B0361.10	T20B12.1
B0361.10	T23B12.3
B0361.10	VW02B12L.1
B0361.10	W04A8.7
B0361.10	W08D2.7
B0361.10	W09B6.1
B0361.10	Y111B2A.11
B0361.10	Y38E10A.24
B0361.10	Y47D3B.7
B0361.10	Y47G6A.9
B0361.10	Y48B6A.13
B0361.10	Y49F6B.1
B0361.10	Y51H7BR.8
B0361.10	Y51H7C.6
B0361.10	Y57G11C.24
B0361.10	Y6B3A.1
B0361.10	Y71F9AM.4
B0361.10	Y71F9B.4
B0361.10	Y71G12B.11
B0361.10	Y71H10B.1
B0361.10	Y71H2AM.17
B0361.10	Y77E11A.13
B0361.10	ZK1127.4
B0365.6	C10E2.3
B0365.6	C14F5.5
B0365.6	C49F5.1
B0365.6	F09B9.2
B0365.6	F54C4.3
B0365.6	F54C8.5
B0365.6	F55A8.1
B0365.6	K10B2.1
B0365.6	M05B5.2
B0365.6	T05E11.5
B0365.6	T09A5.11
B0365.6	T12D8.7
B0365.6	Y34D9A.4
B0365.6	ZK180.3
B0393.1	C04H5.6
B0393.1	C07G2.3
B0393.1	F01F1.8
B0393.1	F14B4.3
B0393.1	F27C1.6
B0393.1	F28D1.7
B0393.1	F37E3.1
B0393.1	F55C5.8
B0393.1	K12H4.3
B0393.1	R53.3
B0393.1	T05C12.7
B0393.1	T20B12.1
B0393.1	T22D1.10
B0393.1	T27F2.1
B0393.1	Y48B6A.1
B0393.1	Y48G1A.5
B0393.1	Y55F3AR.3
B0412.4	C14A4.1
B0412.4	C27A2.2
B0412.4	C49F5.1
B0412.4	D2013.5
B0412.4	F10B5.1
B0412.4	F25H8.2
B0412.4	F53A3.3
B0412.4	F54C9.1
B0412.4	F54C9.5
B0412.4	K01C8.10
B0412.4	K01C8.9
B0412.4	K04C2.2
B0412.4	M110.4
B0412.4	R02D3.3
B0412.4	R05H10.2
B0412.4	R10H10.1
B0412.4	T01B7.5
B0412.4	T05E8.3
B0412.4	T21B10.7
B0412.4	T27F7.3
B0412.4	W07E6.1
B0412.4	Y38A8.2
B0412.4	Y43H11AL.2
B0412.4	Y48B6A.1
B0412.4	Y49F6B.1
B0412.4	Y53C12B.2
B0412.4	Y55F3AR.3
B0412.4	Y57A10A.27
B0412.4	Y71G12B.11
B0412.4	ZK1127.5
B0412.4	ZK856.11
B0432.3	C02C6.1
B0432.3	C05C8.7
B0432.3	C06A8.2
B0432.3	C07A12.4
B0432.3	C14A4.1
B0432.3	C17G10.2
B0432.3	C26D10.2
B0432.3	C31E10.7
B0432.3	C32E12.3
B0432.3	C37A2.4
B0432.3	C41G7.1
B0432.3	C42C1.5
B0432.3	C47D12.1
B0432.3	C47E12.2
B0432.3	C47G2.5
B0432.3	C52E4.6
B0432.3	C54H2.5
B0432.3	C56C10.8
B0432.3	D1014.3
B0432.3	E04A4.8
B0432.3	F09B12.1
B0432.3	F09E5.2
B0432.3	F10E7.6
B0432.3	F10E7.7
B0432.3	F11C1.6
B0432.3	F11H8.4
B0432.3	F18F11.5
B0432.3	F23F1.5
B0432.3	F23F1.8
B0432.3	F25B3.6
B0432.3	F25H2.4
B0432.3	F29G6.3
B0432.3	F29G9.3
B0432.3	F35H10.4
B0432.3	F37E3.1
B0432.3	F41C3.4
B0432.3	F42C5.10
B0432.3	F48F7.1
B0432.3	F55F10.1
B0432.3	F57B10.1
B0432.3	F58B3.4
B0432.3	JC8.3
B0432.3	K02B12.1
B0432.3	K04C2.2
B0432.3	K04G2.3
B0432.3	K07D4.3
B0432.3	K08E4.1
B0432.3	K09H9.6
B0432.3	K10C2.4
B0432.3	K12H4.3
B0432.3	M106.5
B0432.3	M57.2
B0432.3	R12B2.5
B0432.3	R144.2
B0432.3	T01G9.4
B0432.3	T01H3.1
B0432.3	T05C12.7
B0432.3	T06D8.5
B0432.3	T06D8.6
B0432.3	T10H9.3
B0432.3	T14B4.2
B0432.3	T17E9.2
B0432.3	T20H4.3
B0432.3	T23B12.3
B0432.3	VW02B12L.1
B0432.3	W08D2.7
B0432.3	W09D10.1
B0432.3	Y110A7A.13
B0432.3	Y111B2A.11
B0432.3	Y11D7A.9
B0432.3	Y38E10A.24
B0432.3	Y47D3A.6
B0432.3	Y47D3B.7
B0432.3	Y47G6A.9
B0432.3	Y51H7BR.8
B0432.3	Y57A10A.27
B0432.3	Y57G11C.24
B0432.3	Y71D11A.5
B0432.3	Y71F9B.4
B0432.3	Y71G12B.11
B0432.3	Y71H10B.1
B0432.3	Y71H2AM.17
B0432.3	Y77E11A.13
B0432.3	ZK1193.5
B0491.2	C10H11.9
B0491.2	C16D9.2
B0491.2	C31H2.2
B0491.2	F33H1.3
B0491.2	F52B10.1
B0491.2	F54D8.1
B0491.2	F58A4.11
B0491.2	H14N18.1
B0491.2	M6.1
B0491.2	R31.1
B0491.2	T23D8.1
B0491.2	Y40B1A.4
B0491.2	Y54E2A.3
B0491.2	Y71G12B.14
B0491.2	ZC581.1
B0511.10	C16A3.6
B0511.10	C26C6.5
B0511.10	C30C11.4
B0511.10	C32A3.1
B0511.10	C48B6.2
B0511.10	F14B4.3
B0511.10	F27C1.6
B0511.10	F28B3.7
B0511.10	F37E3.1
B0511.10	F57B9.5
B0511.10	K01C8.9
B0511.10	K12H4.3
B0511.10	R13A5.12
B0511.10	T26G10.1
B0511.10	Y75B8A.7
B0511.10	ZK1127.5
B0511.10	ZK1151.1
B0511.8	C01H6.5
B0511.8	C08F8.1
B0511.8	C17G10.2
B0511.8	C18E9.6
B0511.8	C27A2.2
B0511.8	D2021.1
B0511.8	D2085.3
B0511.8	F11C1.6
B0511.8	F37E3.1
B0511.8	F47D12.4
B0511.8	F55C5.8
B0511.8	F55C7.7
B0511.8	F59B10.1
B0511.8	F59E10.1
B0511.8	H06H21.3
B0511.8	H19N07.1
B0511.8	H38K22.1
B0511.8	K04G2.1
B0511.8	K07C5.4
B0511.8	K11H12.2
B0511.8	T01C3.1
B0511.8	T02G5.9
B0511.8	T02H6.11
B0511.8	T08B2.10
B0511.8	T26A8.4
B0511.8	W10D5.3
B0511.8	Y105E8A.16
B0511.8	Y105E8B.2
B0511.8	Y106G6E.6
B0511.8	Y71F9AM.4
B0511.8	Y87G2A.5
B0564.1	C16A3.3
B0564.1	C44E4.4
B0564.1	C53A5.3
B0564.1	F11A10.1
B0564.1	F46A9.4
B0564.1	T01B7.5
B0564.1	ZK1127.4
C01A2.5	C03D6.3
C01A2.5	C14A4.1
C01A2.5	C26D10.2
C01A2.5	C27A2.6
C01A2.5	C56C10.8
C01A2.5	F20D12.2
C01A2.5	F23F1.8
C01A2.5	F25B3.6
C01A2.5	F35H10.4
C01A2.5	F54D12.4
C01A2.5	F57B10.1
C01A2.5	F59E10.1
